
Append with new capture

001 survey.b  006289  24  XI  21 113404.0 00000000
002 survey.b  008731  25  XI  21 114751.1 0000F5AA


/Gem Systems GSM-19TW 9113462 v7.0 3 II 2017 M t-ew3.v7                           
/ID 1 file 02survey.b   25 XI 21
/datum  00000.00
/
/time nT sq 
115145.0  27212.60 25 
115146.0  00000.00 03 
115147.0  00000.00 04 
115148.0  27368.57 35 
115149.0  28087.25 34 
115150.0  00000.00 03 
115151.0  29089.19 46 
115152.0  29504.26 15 
115153.0  29842.34 84 
115154.0  29840.60 94 
115155.0  29884.64 95 
115156.0  29882.50 95 
115157.0  29921.28 95 
115158.0  29846.51 95 
115159.0  29861.45 85 
115200.0  29895.08 95 
115201.0  29913.78 95 
115202.0  29825.16 14 
115203.0  29894.75 96 
115204.0  29805.98 95 
115205.0  29847.01 94 
115206.0  29895.37 94 
115207.0  29879.21 96 
115208.0  29913.16 95 
115209.0  29866.64 94 
115210.0  29852.05 95 
115211.0  29936.84 95 
115212.0  29966.94 96 
115213.0  29853.77 96 
115214.0  29904.53 95 
115215.0  29826.56 96 
115216.0  29263.43 05 
115217.0  00000.00 04 
115218.0  29866.40 95 
115219.0  29759.88 94 
115220.0  29885.00 94 
115221.0  29893.07 95 
115222.0  29918.68 95 
115223.0  29857.14 95 
115224.0  29868.51 96 
115225.0  25182.11 06 
115226.0  29874.95 05 
115227.0  00000.00 04 
115228.0  29878.66 94 
115229.0  29875.20 95 
115230.0  29934.37 95 
115231.0  29727.01 55 
115232.0  29885.88 85 
115233.0  29911.96 95 
115234.0  29914.09 96 
115235.0  29887.19 94 
115236.0  29894.66 95 
115237.0  29899.04 95 
115238.0  29842.39 95 
115239.0  26312.08 04 
115240.0  29896.80 96 
115241.0  00000.00 04 
115242.0  29942.94 65 
115243.0  29859.11 95 
115244.0  29920.46 94 
115245.0  29876.25 95 
115246.0  29925.58 94 
115247.0  29961.94 95 
115248.0  29884.58 95 
115249.0  29716.38 55 
115250.0  29885.05 94 
115251.0  29907.02 96 
115252.0  29859.57 96 
115253.0  00000.00 05 
115254.0  29118.61 05 
115255.0  32739.26 04 
115256.0  29871.84 94 
115257.0  32597.05 35 
115258.0  29876.19 95 
115259.0  32254.17 44 
115300.0  29946.74 94 
115301.0  31571.04 45 
115302.0  29920.95 95 
115303.0  31259.37 46 
115304.0  29605.29 15 
115305.0  31333.83 25 
115306.0  29928.71 94 
115307.0  31074.40 64 
115308.0  29924.92 94 
115309.0  30660.80 05 
115310.0  29855.14 94 
115311.0  00000.00 04 
115312.0  29883.30 95 
115313.0  29872.55 55 
115314.0  30218.54 04 
115315.0  29890.20 95 
115316.0  29895.90 96 
115317.0  29899.25 95 
115318.0  29893.21 96 
115319.0  29884.76 95 
115320.0  29911.99 95 
115321.0  29861.04 95 
115322.0  29918.31 94 
115323.0  29861.39 96 
115324.0  29946.27 94 
115325.0  29918.36 95 
115326.0  29881.39 95 
115327.0  29917.25 96 
115328.0  29913.24 95 
115329.0  29870.27 95 
115330.0  29840.12 94 
115331.0  29904.85 95 
115332.0  29911.87 94 
115333.0  29864.76 95 
115334.0  29909.90 94 
115335.0  29892.74 96 
115336.0  29911.56 96 
115337.0  29944.33 96 
115338.0  29885.20 94 
115339.0  29839.84 35 
115340.0  29884.93 95 
115341.0  29903.70 96 
115342.0  29910.41 94 
115343.0  29885.21 95 
115344.0  29919.36 95 
115345.0  30011.54 34 
115346.0  29860.00 95 
115347.0  29869.84 96 
115348.0  29904.69 94 
115349.0  29908.47 95 
115350.0  29902.69 94 
115351.0  29900.36 94 
115352.0  29891.00 95 
115353.0  29875.34 94 
115354.0  29896.40 95 
115355.0  29858.48 95 
115356.0  29926.41 94 
115357.0  29900.83 94 
115358.0  29903.89 95 
115359.0  29908.52 96 
115400.0  29924.44 93 
115401.0  29946.78 93 
115402.0  29900.64 95 
115403.0  29917.35 95 
115404.0  29906.10 95 
115405.0  29877.49 96 
115406.0  29833.91 94 
115407.0  29844.96 94 
115408.0  29929.57 96 
115409.0  00000.00 95 
115410.0  29865.78 95 
115411.0  29841.40 95 
115412.0  29822.89 94 
115413.0  29859.85 55 
115414.0  29932.21 94 
115415.0  29904.52 94 
115416.0  29903.82 95 
115417.0  29877.85 95 
115418.0  29889.26 95 
115419.0  29907.21 75 
115420.0  29873.42 94 
115421.0  29820.09 85 
115422.0  29904.82 96 
115423.0  29864.55 96 
115424.0  29871.86 94 
115425.0  29948.66 94 
115426.0  29911.89 95 
115427.0  29854.27 95 
115428.0  29905.68 94 
115429.0  29870.83 96 
115430.0  29895.73 95 
115431.0  29880.72 95 
115432.0  29918.12 96 
115433.0  29918.66 95 
115434.0  29926.56 94 
115435.0  29905.98 95 
115436.0  00000.00 95 
115437.0  29925.12 95 
115438.0  29994.94 25 
115439.0  29835.80 95 
115440.0  30794.76 05 
115441.0  29853.58 96 
115442.0  00000.00 06 
115443.0  29860.56 94 
115444.0  29878.13 94 
115445.0  29904.43 95 
115446.0  29885.81 95 
115447.0  29880.42 95 
115448.0  29838.95 64 
115449.0  29960.17 94 
115450.0  29937.19 94 
115451.0  29894.55 95 
115452.0  29920.12 56 
115453.0  29984.02 96 
115454.0  29851.68 95 
115455.0  29872.71 95 
115456.0  29869.95 95 
115457.0  29873.77 96 
115458.0  29881.60 95 
115459.0  29889.51 96 
115500.0  29902.85 95 
115501.0  29841.38 94 
115502.0  29930.93 94 
115503.0  29959.33 95 
115504.0  29882.34 95 
115505.0  29864.05 96 
115506.0  29861.65 94 
115507.0  29807.52 95 
115508.0  29874.45 94 
115509.0  29833.54 96 
115510.0  29865.07 95 
115511.0  29857.11 93 
115512.0  29935.21 94 
115513.0  29894.56 95 
115514.0  29935.78 95 
115515.0  29856.23 95 
115516.0  29851.48 95 
115517.0  29852.00 93 
115518.0  29813.84 96 
115519.0  29876.87 95 
115520.0  29897.22 94 
115521.0  29890.72 93 
115522.0  29846.80 93 
115523.0  29950.61 95 
115524.0  29937.43 96 
115525.0  29844.34 74 
115526.0  29868.82 94 
115527.0  00000.00 05 
115528.0  29879.41 96 
115529.0  29869.70 96 
115530.0  29865.57 95 
115531.0  29926.77 95 
115532.0  29825.30 94 
115533.0  29853.28 95 
115534.0  29792.53 95 
115535.0  29874.77 95 
115536.0  29867.54 95 
115537.0  29901.87 95 
115538.0  29901.69 94 
115539.0  29922.85 95 
115540.0  29824.33 94 
115541.0  29881.38 95 
115542.0  29912.75 95 
115543.0  29886.35 95 
115544.0  29844.89 95 
115545.0  29867.53 96 
115546.0  29845.82 95 
115547.0  29874.16 95 
115548.0  29864.94 96 
115549.0  29854.97 93 
115550.0  29544.53 04 
115551.0  29848.65 95 
115552.0  29919.20 95 
115553.0  29858.40 94 
115554.0  29865.66 94 
115555.0  29822.31 96 
115556.0  29874.50 96 
115557.0  29875.84 94 
