

/Gem Systems GSM-19TW 9113462 v7.0 11 VI 2009 M t-ew3.v7                           
/ID 1 file 01survey.b   10 II 14
/datum  00000.00
/
/time nT sq 
100532.0  48547.02 99 
100534.0  48551.14 99 
100536.0  48548.56 99 
100538.0  48545.92 99 
100540.0  48544.26 99 
100542.0  48553.71 89 
100544.0  48546.48 99 
100546.0  48550.17 99 
100548.0  48547.16 99 
100550.0  48550.64 99 
100552.0  48550.19 99 
100554.0  48547.89 99 
100556.0  48549.15 99 
100558.0  48547.10 99 
100600.0  48547.39 99 
100602.0  48547.74 99 
100604.0  48547.75 99 
100606.0  48547.65 99 
100608.0  48547.82 99 
100610.0  48546.90 99 
100612.0  48549.95 99 
100614.0  48546.11 99 
100616.0  48548.01 99 
100618.0  48547.47 99 
100620.0  48546.23 99 
100622.0  48545.59 99 
100624.0  48548.01 99 
100626.0  48547.06 99 
100628.0  48549.17 98 
100630.0  48545.93 99 
100632.0  48547.91 99 
100634.0  48551.42 99 
100636.0  48544.92 99 
100638.0  48544.69 99 
100640.0  48549.12 99 
100642.0  48548.51 99 
100644.0  48545.95 99 
100646.0  48543.83 99 
100648.0  48548.64 99 
100650.0  48545.45 99 
100652.0  48547.92 99 
100654.0  48545.43 99 
100656.0  48548.80 99 
100658.0  48546.70 99 
100700.0  48545.85 99 
100702.0  48548.58 99 
100704.0  48544.64 99 
100706.0  48545.19 99 
100708.0  48544.80 99 
100710.0  48545.94 99 
100712.0  48546.73 98 
100714.0  48549.23 99 
100716.0  48545.59 99 
100718.0  48547.97 98 
100720.0  48547.86 99 
100722.0  48549.68 99 
100724.0  48547.48 99 
100726.0  48546.44 98 
100728.0  48547.85 98 
100730.0  48550.13 99 
100732.0  48551.05 99 
100734.0  48550.48 99 
100736.0  48549.13 99 
100738.0  48548.74 98 
100740.0  48549.18 99 
100742.0  48549.72 99 
100744.0  48547.47 99 
100746.0  48548.60 99 
100748.0  48549.22 99 
100750.0  48554.16 99 
100752.0  48548.58 99 
100754.0  48549.99 99 
100756.0  48547.75 99 
100758.0  48547.25 99 
100800.0  48548.26 99 
100802.0  48545.54 99 
100804.0  48547.95 99 
100806.0  48549.18 99 
100808.0  48551.48 99 
100810.0  48553.75 99 
100812.0  48552.12 99 
100814.0  48549.07 99 
100816.0  48549.17 98 
100818.0  48551.42 99 
100820.0  48551.19 99 
100822.0  48546.94 99 
100824.0  48546.75 99 
100826.0  48545.45 99 
100828.0  48547.09 99 
100830.0  48547.07 99 
100832.0  48546.87 99 
100834.0  48550.04 99 
100836.0  48546.67 99 
100838.0  48550.71 99 
100840.0  48542.54 99 
100842.0  48545.96 99 
100844.0  48549.14 98 
100846.0  48545.14 99 
100848.0  48548.55 99 
100850.0  48548.23 99 
100852.0  48545.44 99 
100854.0  48547.35 98 
100856.0  48546.69 99 
100858.0  48544.35 99 
100900.0  48552.12 99 
100902.0  48551.85 98 
100904.0  48546.58 99 
100906.0  48547.38 99 
100908.0  48548.90 99 
100910.0  48547.39 99 
100912.0  48553.74 99 
100914.0  48557.15 99 
100916.0  48556.61 99 
100918.0  48550.19 99 
100920.0  48550.36 99 
100922.0  48547.95 99 
100924.0  48551.66 99 
100926.0  48546.08 99 
100928.0  48548.74 99 
100930.0  48547.00 99 
100932.0  48547.69 99 
100934.0  48551.12 99 
100936.0  48548.74 99 
100938.0  48549.30 99 
100940.0  48546.53 99 
100942.0  48546.46 99 
100944.0  48546.81 99 
100946.0  48545.13 99 
100948.0  48543.91 99 
100950.0  48547.06 99 
100952.0  48545.89 99 
100954.0  48546.18 99 
100956.0  48546.80 99 
100958.0  48549.10 99 
101000.0  48547.12 99 
101002.0  48545.46 99 
101004.0  48546.35 99 
101006.0  48545.02 99 
101008.0  48546.30 99 
101010.0  48544.79 99 
101012.0  48546.82 99 
101014.0  48547.27 98 
101016.0  48545.20 99 
101018.0  48546.08 99 
101020.0  48545.27 99 
101022.0  48544.54 99 
101024.0  48548.50 99 
101026.0  48545.21 99 
101028.0  48543.67 99 
101030.0  48549.27 99 
101032.0  48546.25 99 
101034.0  48542.71 99 
101036.0  48544.31 99 
101038.0  48546.18 99 
101040.0  48545.92 99 
101042.0  48544.68 99 
101044.0  48540.88 99 
101046.0  48546.54 99 
101048.0  48544.54 99 
101050.0  48546.23 99 
101052.0  48547.64 99 
101054.0  48545.43 99 
101056.0  48548.16 99 
101058.0  48549.51 99 
101100.0  48550.35 99 
101102.0  48546.04 99 
101104.0  48547.98 99 
101106.0  48547.85 99 
101108.0  48547.71 98 
101110.0  48549.55 99 
101112.0  48548.29 99 
101114.0  48553.57 99 
101116.0  48549.79 99 
101118.0  48547.19 99 
101120.0  48549.11 99 
101122.0  48548.47 99 
101124.0  48547.61 99 
101126.0  48547.70 99 
101128.0  48546.54 99 
101130.0  48547.64 99 
101132.0  48546.98 99 
101134.0  48543.89 99 
101136.0  48544.65 99 
101138.0  48548.78 99 
101140.0  48547.14 99 
101142.0  48548.29 99 
101144.0  48544.74 99 
101146.0  48547.14 99 
101148.0  48548.87 99 
101150.0  48546.82 99 
101152.0  48548.86 99 
101154.0  48549.74 99 
101156.0  48546.03 99 
101158.0  48546.77 99 
101200.0  48545.46 99 
101202.0  48548.83 99 
101204.0  48547.72 99 
101206.0  48547.16 99 
101208.0  48547.05 99 
101210.0  48546.69 99 
101212.0  48546.75 99 
101214.0  48547.59 99 
101216.0  48547.85 99 
101218.0  48546.00 99 
101220.0  48547.59 99 
101222.0  48546.55 99 
101224.0  48543.94 99 
101226.0  48544.57 98 
101228.0  48544.40 99 
101230.0  48546.28 99 
101232.0  48549.08 99 
101234.0  48545.59 99 
101236.0  48548.39 99 
101238.0  48547.99 99 
101240.0  48544.55 99 
101242.0  48544.75 99 
101244.0  48545.05 99 
101246.0  48546.79 99 
101248.0  48548.76 99 
101250.0  48546.73 99 
101252.0  48546.32 99 
101254.0  48546.24 98 
101256.0  48545.37 99 
101258.0  48547.49 99 
101300.0  48545.34 99 
101302.0  48549.38 99 
101304.0  48549.15 99 
101306.0  48549.33 99 
101308.0  48547.12 99 
101310.0  48549.16 99 
101312.0  48548.77 99 
101314.0  48546.83 99 
101316.0  48546.38 99 
101318.0  48545.31 99 
101320.0  48547.14 99 
101322.0  48542.93 98 
